draw,alpha,beta_area_ri,p_cp,p_ri,delta_cp_minus_ri,odds_ratio_ri_cp
4310,-0.31817401,-1.9895315,0.4211208199497833,0.09048680144908514,0.3306340185006982,0.13675948225648138
4311,-0.44035926,-1.2392463,0.39165536811727586,0.15714770630753525,0.23450766180974061,0.28960240903909845
4312,-0.15184723,-1.6821505,0.4621109669926569,0.1377627181752875,0.3243482488173694,0.18597360945240615
4313,-0.13251668,-1.5578686,0.46691922588515605,0.1557251787753077,0.3111940471098483,0.2105844328722181
4314,-0.13398104,-1.5539845,0.4665547561102207,0.15604357881228986,0.3105111772979308,0.21140395438940873
4315,-0.14060434,-2.2666143,0.46490671092606756,0.08262389280052519,0.3822828181255424,0.10366255693195975
4316,-0.093989011,-1.9673486,0.47652002974828284,0.11291178194088938,0.3636082478073934,0.13982710274254068
4317,-0.22153293,-1.7801815,0.44484216422113365,0.11902303535255593,0.3258191288685777,0.16860754222235821
4318,-0.11057875,-1.9407842,0.47238344725146814,0.11391473519319231,0.3584687120582758,0.14359130131552222
4319,-0.19412299,-1.7825525,0.45162108202862317,0.121673678970538,0.3299474030580852,0.1682082472909479
4320,-0.28763267,-1.9982586,0.4285835271737388,0.09229820007298392,0.33628532710075487,0.13557116141836592
4321,-0.62531819,-1.7958048,0.34857288050472396,0.08157607990861539,0.2669968005961086,0.16599380675938227
4322,-0.5325398,-2.0420591,0.3699247150662318,0.07079119159165909,0.2991335234745727,0.12976124422465204
4323,-0.47705787,-1.3491374,0.3829471066476989,0.13869214894115586,0.244254957706543,0.25946397777004837
4324,-0.46671946,-1.3553233,0.38539299675149596,0.13918893845645408,0.24620405829504188,0.2578639135707751
4325,-0.6382523,-1.8091742,0.3456417161467449,0.07962694806499057,0.2660147680817543,0.16378933820585176
4326,-0.64154172,-1.7021946,0.3448981146794769,0.08756493251216256,0.2573331821673143,0.18228304639571558
4327,-0.80871112,-1.1827969,0.3081652161979215,0.1200974126072199,0.18806780359070158,0.30642051144437255
4328,-0.40999452,-1.1046462,0.3989134351535575,0.18025205676242537,0.21866137839113212,0.3313280853841315
4329,-0.33217701,-2.1912351,0.4177110175640377,0.07423311530776934,0.3434779022562684,0.11177860556891225
4330,-0.6485934,-1.3288138,0.3433065813890718,0.12159550335646313,0.22171107803260864,0.26479117036983957
4331,-0.53148309,-2.0504681,0.3701710473130157,0.07030908298113213,0.29986196433188356,0.12867465688127655
4332,-0.66362385,-1.8925861,0.33992603434857127,0.07201040152343709,0.2679156328251342,0.1506816267739136
4333,-0.51539886,-2.0318572,0.3739287620027395,0.07261104210450167,0.30131771989823786,0.13109183117916604
4334,-0.37076417,-2.3892063,0.408356384067543,0.05952601912330776,0.34883036494423525,0.09170243922673935
4335,-0.096526364,-2.278778,0.47588712840974146,0.08507535107122118,0.3908117773385203,0.10240927441694594
4336,0.0013470339,-2.5044077,0.5003367584240793,0.07564389429621454,0.4246928641278648,0.0817239887714968
4337,-0.011804498,-2.9182322,0.4970489097685147,0.050688559022667,0.4463603507458477,0.054029115596984936
4338,-0.33802324,-2.2623017,0.4162897354727925,0.06911751068523578,0.3471722247875567,0.10411057744724535
4339,-0.31405902,-2.4039851,0.42212428858736323,0.06191697285983166,0.36020731572753156,0.09035715256473306
4340,0.19702039,-2.6623199,0.5490963854780344,0.0783269000670409,0.4707694854109935,0.069786136947984
4341,-0.44173153,-1.3571278,0.3913284577456986,0.14198997464077234,0.24933848310492623,0.2573990177171708
4342,-0.52366925,-1.4120235,0.37199464137749266,0.12612181653001547,0.2458728248474772,0.24364975871172675
4343,-0.46401903,-1.6256727,0.3860328323702677,0.11010277507440315,0.27593005729586456,0.1967792572640519
4344,-0.63146781,-1.604861,0.34717779088315065,0.09653525503329631,0.25064253584985435,0.20091748049914804
4345,-0.49665298,-1.6572316,0.37832755271149077,0.10396878133692414,0.27435877137456666,0.19066609014310387
4346,-0.44874017,-1.7632258,0.3896603436387287,0.09868107565729828,0.2909792679814304,0.171490775670588
4347,-0.39630895,-1.8838969,0.4021994764552641,0.09277562561831454,0.30942385083694957,0.15199663447391046
4348,-0.36516403,-1.9801781,0.409710077199244,0.08743671754793389,0.3222733596513101,0.13804464936934893
4349,-0.25471884,-1.9338799,0.43666237458887236,0.10077900836987759,0.3358833662189948,0.14458612907996501
